time_tick,acc_X_value,acc_Y_value,acc_Z_value
18.230141,0.485591,-0.003442,3.102547
18.263458,-0.920304,-0.404635,4.091537
18.296797,0.040404,-0.698683,3.352152
18.330267,1.021014,-0.271752,4.718092
18.363468,-1.168861,-0.836055,6.857687
18.396783,-1.787784,-0.448031,4.504702
18.430118,0.171790,-1.289024,3.767112
18.463464,-0.769165,-0.801488,4.681280
18.496778,0.084249,-1.186669,3.891614
18.530164,0.298837,-1.379708,4.727520
18.563452,-1.327632,-0.379195,5.227028
18.596772,-1.589807,-0.809419,4.565906
18.630181,-2.195711,-1.426546,4.338448
18.663435,-0.796100,-1.060520,2.866411
18.696783,-2.414489,-1.394822,4.065200
18.730149,-3.920047,-1.847492,6.421628
18.763439,-2.271879,-2.350442,5.639294
18.796803,-4.758197,-2.382615,7.601263
18.830132,-5.116292,-2.623241,10.975712
18.863439,-2.845461,-3.313843,9.150367
18.896788,-3.922591,-3.025032,9.355976
18.930248,-7.738186,-2.938688,11.126701
18.963447,-6.614518,-3.560006,10.894156
18.996805,-5.639294,-3.673734,12.517632
19.030652,-6.293084,-2.768544,14.704066
19.063452,-7.637776,-2.165333,15.191303
19.096786,-8.099275,-2.062229,18.987745
19.130240,-10.203105,-1.133845,22.891480
19.163466,-13.330792,-0.311706,27.035542
19.196952,-9.256015,-2.175210,16.073448
19.230130,-7.194683,-1.531596,15.233353
19.263393,-10.027873,0.731904,19.913436
19.296842,-7.467782,1.416071,16.507413
19.330400,-4.367778,0.590341,9.924470
19.363443,-5.053592,0.064346,9.807898
19.396926,-7.211443,0.324725,9.956194
19.430098,-5.965965,-0.690303,8.424599
19.463396,-0.127945,-0.357198,2.386057
19.496801,-1.529949,0.788918,5.353177
19.530106,-3.928427,0.726367,7.762279
19.563444,-1.095985,-0.449527,4.315553
19.596806,-2.767796,-0.272500,5.727733
19.630108,-4.484201,0.050729,6.346657
19.663445,-3.345118,-0.238531,2.991213
19.696800,-0.156975,-0.401941,3.186347
19.730064,-0.104451,-0.748963,4.766277
19.763716,0.075570,-1.135640,5.138589
19.796783,0.089486,-0.736393,3.851959
19.830099,-1.077878,-0.675189,5.335968
19.863474,-0.360191,-1.221685,4.968744
19.896773,0.988242,-1.049446,0.908033
19.930059,1.685877,-1.232759,1.135640
19.963422,0.337445,-1.261490,0.533178
19.996784,-5.432488,-1.875026,2.420475
20.030061,0.357048,-1.109154,3.093419
20.063461,1.422655,0.718735,3.809760
20.096793,-1.377463,0.129740,5.532898
20.130078,-1.631258,-0.881846,3.814399
20.163545,-4.416113,-0.576874,6.733484
20.196739,-4.737995,-0.578819,10.487277
20.230166,-3.182457,-1.246675,7.997518
20.263464,-3.743917,-1.245329,6.950915
20.296782,-5.820213,-1.363397,11.355805
20.330274,-4.910982,-1.863354,10.459593
20.363504,-6.276025,-2.517593,11.906191
20.396782,-7.364678,-2.484671,14.432015
20.430135,-6.923680,-2.675766,14.914164
20.463658,-10.394199,-2.714673,19.010939
20.496802,-9.741008,-3.215977,22.380599
20.530210,-10.732392,-2.411047,23.178046
20.563438,-10.327458,-3.043139,21.565045
20.596778,-10.599360,-2.467313,18.116374
20.630247,-8.280343,-2.643742,14.311552
20.663507,-7.248255,-2.019282,14.012416
20.696777,-7.322029,-1.643678,13.341267
20.730029,-8.905850,-1.583522,10.080398
20.763447,-6.191327,-1.406494,8.518874
20.796791,-5.476184,-0.429026,9.195260
20.830034,-5.118387,0.065394,10.330601
20.863446,-5.592606,-0.575227,9.594208
